date,top buy,top sell,kiwi-coin.com (worldwide), kiwi-coin.com (europe),binance.us,coinmarketcap.com
2021-06-12T19:47:44.218Z,49544.05,52500.02,50306.25,50283.62,50170.8,50221.63
2021-06-12T19:47:49.949Z,49544.05,52500.02,50306.25,50283.62,50170.46,50221.63
2021-06-12T19:47:55.889Z,49544.05,52500.02,50306.25,50283.62,50170.34,50221.63
2021-06-12T19:48:01.605Z,49544.05,52500.02,50306.25,50283.62,50166.96,50221.63
2021-06-12T19:48:07.367Z,49544.05,52500.02,50306.25,50283.62,50166.99,50221.63
2021-06-12T19:48:13.080Z,49544.05,52500.02,50306.25,50283.62,50167.04,50221.63
2021-06-12T19:48:23.856Z,49544.05,52500.02,50306.25,50283.62,50166.92,50221.63
2021-06-12T19:48:29.628Z,49544.05,52500.02,50306.25,50283.62,50166.91,50221.63
2021-06-12T19:48:35.346Z,49544.05,52500.02,50306.25,50283.62,50183.51,50221.63
2021-06-12T19:48:41.065Z,49544.05,52500.02,50306.25,50283.62,50183.79,50167.41
2021-06-12T19:48:47.025Z,49544.05,52500.02,50306.25,50283.62,50183.59,50167.41
2021-06-12T19:48:55.159Z,49544.05,52500.02,50306.25,50283.62,50183.59,50167.41
2021-06-12T19:49:03.192Z,49544.05,52500.02,50306.25,50283.62,50184.38,50167.41
2021-06-12T19:49:08.944Z,49544.05,52500.02,50306.25,50283.62,50184.3,50167.41
2021-06-12T19:49:14.661Z,49544.05,52500.02,50306.25,50283.62,50183.66,50167.41
2021-06-12T19:49:20.439Z,49544.05,52500.02,50306.25,50283.62,50183.66,50167.41
2021-06-12T19:49:27.587Z,49544.05,52500.02,50306.25,50283.62,50183.66,50167.41
2021-06-12T19:49:33.315Z,49544.05,52500.02,50306.25,50283.62,50183.81,50167.41
2021-06-12T19:49:40.549Z,49544.05,52500.02,50306.25,50283.62,50183.71,50181.98
2021-06-12T19:49:46.262Z,49544.05,52500.02,50306.25,50283.62,50183.65,50181.98
2021-06-12T19:49:51.977Z,49544.05,52500.02,50306.25,50283.62,50183.65,50181.98
2021-06-12T19:49:57.692Z,49544.05,52500.02,50306.25,50283.62,50183.27,50181.98
2021-06-12T19:50:04.950Z,49544.05,52500.02,50306.25,50283.62,50182.06,50181.98
2021-06-12T19:50:10.939Z,49544.05,52500.02,50306.25,50283.62,50181.43,50181.98
2021-06-12T19:50:18.018Z,49544.05,52500.02,50306.25,50283.62,50181.43,50181.98
2021-06-12T19:50:23.822Z,49544.05,52500.02,50306.25,50283.62,50180.67,50181.98
2021-06-12T19:50:29.544Z,49544.05,52500.02,50306.25,50283.62,50180.67,50181.98
2021-06-12T19:50:35.267Z,49544.05,52500.02,50306.25,50283.62,50180.53,50181.98
2021-06-12T19:50:42.410Z,49544.05,52500.02,50306.25,50283.62,50180.46,50135.2
2021-06-12T19:50:48.122Z,49544.05,52500.02,50306.25,50283.62,50180.02,50135.2
2021-06-12T19:50:56.889Z,49544.05,52500.02,50306.25,50283.62,50179.61,50135.2
2021-06-12T19:51:02.609Z,49544.05,52500.02,50306.25,50283.62,50179.61,50135.2
2021-06-12T19:51:08.484Z,49544.05,52500.02,50306.25,50283.62,50179.61,50135.2
2021-06-12T19:51:14.982Z,49544.05,52500.02,50306.25,50283.62,50161.82,50135.2
2021-06-12T19:51:20.765Z,49544.05,52500.02,50306.25,50283.62,50161.82,50135.2
2021-06-12T19:51:26.482Z,49544.05,52500.02,50306.25,50283.62,50161.87,50135.2
2021-06-12T19:51:33.721Z,49544.05,52500.02,50306.25,50283.62,50161.87,50135.2
2021-06-12T19:51:39.681Z,49544.05,52500.02,50306.25,50283.62,50161.69,50157.8
2021-06-12T19:51:45.402Z,49544.05,52500.02,50306.25,50283.62,50161.69,50157.8
2021-06-12T19:51:53.126Z,49544.05,52500.02,50306.25,50283.62,50159.15,50157.8
2021-06-12T19:51:58.849Z,49544.05,52500.02,50306.25,50283.62,50159.15,50157.8
2021-06-12T19:52:10.368Z,49544.05,52500.02,50306.25,50283.62,50156.29,50157.8
2021-06-12T19:52:16.092Z,49544.05,52500.02,50306.25,50283.62,50154.52,50157.8
2021-06-12T19:52:21.881Z,49544.05,52500.02,50306.25,50283.62,50154.79,50157.8
2021-06-12T19:52:28.520Z,49544.05,52500.02,50306.25,50283.62,50152.99,50157.8
2021-06-12T19:52:34.298Z,49544.05,52500.02,50306.25,50283.62,50152.98,50161.02
2021-06-12T19:52:40.049Z,49544.05,52500.02,50306.25,50283.62,50152.98,50161.02
2021-06-12T19:52:48.961Z,49544.05,52500.02,50306.25,50283.62,50152.93,50161.02
2021-06-12T19:52:54.911Z,49544.05,52500.02,50306.25,50283.62,50152.93,50161.02
2021-06-12T19:53:02.076Z,49544.05,52500.02,50306.25,50283.62,50152.93,50161.02
2021-06-12T19:53:07.871Z,49544.05,52500.02,50306.25,50283.62,50159.11,50161.02
2021-06-12T19:53:13.597Z,49544.05,52500.02,50306.25,50283.62,50159.11,50161.02
2021-06-12T19:53:19.576Z,49544.05,52500.02,50306.25,50283.62,50156.13,50161.02
2021-06-12T19:53:26.509Z,49544.05,52500.02,50306.25,50283.62,50154.69,50161.02
2021-06-12T19:53:32.229Z,49544.05,52500.02,50306.25,50283.62,50154.69,50162.26
2021-06-12T19:53:39.882Z,49544.05,52500.02,50306.25,50283.62,50146.13,50162.26
2021-06-12T19:53:45.831Z,49544.05,52500.02,50306.25,50283.62,50141.14,50162.26
2021-06-12T19:53:51.555Z,49544.05,52500.02,50306.25,50283.62,50138.92,50162.26
2021-06-12T19:54:00.739Z,49544.05,52500.02,50306.25,50283.62,50138.35,50162.26
2021-06-12T19:54:06.533Z,49544.05,52500.02,50306.25,50283.62,50137.65,50162.26
2021-06-12T19:54:13.437Z,49544.05,52500.02,50306.25,50283.62,50137.54,50162.26
2021-06-12T19:54:19.387Z,49544.05,52500.02,50306.25,50283.62,50135.42,50162.26
2021-06-12T19:54:25.191Z,49544.05,52500.02,50306.25,50283.62,50135.42,50162.26
2021-06-12T19:54:30.920Z,49544.05,52500.02,50306.25,50283.62,50135.06,50130.47
2021-06-12T19:54:38.244Z,49544.05,52500.02,50306.25,50283.62,50126.36,50130.47
2021-06-12T19:54:56.384Z,49544.05,52500.02,50306.25,50283.62,50126.36,50130.47
2021-06-12T19:55:02.243Z,49544.05,52500.02,50306.25,50283.62,50126.14,50130.47
2021-06-12T19:55:07.969Z,49544.05,52500.02,50306.25,50283.62,50125.79,50130.47
2021-06-12T19:55:13.694Z,49544.05,52500.02,50306.25,50283.62,50125.79,50130.47
2021-06-12T19:55:19.415Z,49544.05,52500.02,50306.25,50283.62,50125.77,50130.47
2021-06-12T19:55:25.142Z,49544.05,52500.02,50306.25,50283.62,50125.77,50130.47
2021-06-12T19:55:33.969Z,49544.05,52500.02,50306.25,50283.62,50125.58,50114.61
2021-06-12T19:55:39.909Z,49544.05,52500.02,50306.25,50283.62,50125.59,50114.61
2021-06-12T19:55:45.632Z,49544.05,52500.02,50306.25,50283.62,50125.59,50114.61
2021-06-12T19:55:51.358Z,49544.05,52500.02,50306.25,50283.62,50125.59,50114.61
2021-06-12T19:55:57.319Z,49544.05,52500.02,50306.25,50283.62,50125.59,50114.61
2021-06-12T19:56:03.412Z,49544.05,52500.02,50306.25,50283.62,50125.46,50114.61
2021-06-12T19:56:15.104Z,49544.05,52500.02,50306.25,50283.62,50125.64,50114.61
2021-06-12T19:56:20.827Z,49544.05,52500.02,50306.25,50283.62,50126.02,50114.61
2021-06-12T19:56:26.775Z,49544.05,52500.02,50306.25,50283.62,50126.02,50114.61
2021-06-12T19:56:32.571Z,49544.05,52500.02,50306.25,50283.62,50128.29,50114.61
2021-06-12T19:56:38.520Z,49544.05,52500.02,50306.25,50283.62,50133.48,50120.93
2021-06-12T19:56:45.166Z,49544.05,52500.02,50306.25,50283.62,50135.49,50120.93
2021-06-12T19:56:52.160Z,49544.05,52500.02,50306.25,50283.62,50138.92,50120.93
2021-06-12T19:56:57.884Z,49544.05,52500.02,50306.25,50283.62,50138.92,50120.93
2021-06-12T19:57:03.682Z,49544.05,52500.02,50306.25,50283.62,50141.2,50120.93
2021-06-12T19:57:09.409Z,49544.05,52500.02,50306.25,50283.62,50142.13,50120.93
2021-06-12T19:57:15.133Z,49544.05,52500.02,50306.25,50283.62,50143.24,50120.93
2021-06-12T19:57:23.944Z,49544.05,52500.02,50306.25,50283.62,50143.7,50120.93
2021-06-12T19:57:30.650Z,49544.05,52500.02,50306.25,50283.62,50143.7,50120.93
2021-06-12T19:57:36.736Z,49544.05,52500.02,50306.25,50283.62,50143.86,50120.93
2021-06-12T19:57:42.462Z,49544.05,52500.02,50306.25,50283.62,50143.91,50168.5
2021-06-12T19:57:48.185Z,49544.05,52500.02,50306.25,50283.62,50143.91,50168.5
2021-06-12T19:57:53.900Z,49544.05,52500.02,50306.25,50283.62,50143.91,50168.5
2021-06-12T19:58:01.684Z,49544.05,52500.02,50306.25,50283.62,50143.92,50168.5
2021-06-12T19:58:10.008Z,49544.05,52500.02,50306.25,50283.62,50142.47,50168.5
2021-06-12T19:58:15.735Z,49544.05,52500.02,50306.25,50283.62,50142.46,50168.5
2021-06-12T19:58:21.453Z,49544.05,52500.02,50306.25,50283.62,50142.45,50168.5
2021-06-12T19:58:27.197Z,49544.05,52500.02,50306.25,50283.62,50142.45,50168.5
2021-06-12T19:58:33.591Z,49544.05,52500.02,50306.25,50283.62,50142.29,50158.19
2021-06-12T19:58:39.361Z,49544.05,52500.02,50306.25,50283.62,50142.68,50158.19
2021-06-12T19:58:48.885Z,49544.05,52500.02,50306.25,50283.62,50143.69,50158.19
2021-06-12T19:58:54.610Z,49544.05,52500.02,50306.25,50283.62,50143.69,50158.19
2021-06-12T19:59:00.468Z,49544.05,52500.02,50306.25,50283.62,50144.05,50158.19
2021-06-12T19:59:07.605Z,49544.05,52500.02,50306.25,50283.62,50144.05,50158.19
2021-06-12T19:59:13.334Z,49544.05,52500.02,50306.25,50283.62,50144.28,50158.19
2021-06-12T19:59:19.281Z,49544.05,52500.02,50306.25,50283.62,50144.28,50158.19
2021-06-12T19:59:28.072Z,49544.05,52500.02,50306.25,50283.62,50144.34,50158.19
2021-06-12T19:59:34.096Z,49544.05,52500.02,50306.25,50283.62,50144.42,50158.19
2021-06-12T19:59:40.539Z,49544.05,52500.02,50306.25,50283.62,50143.3,50163.38
2021-06-12T19:59:46.267Z,49544.05,52500.02,50306.25,50283.62,50143.3,50163.38
2021-06-12T19:59:51.989Z,49544.05,52500.02,50306.25,50283.62,50143.08,50163.38
2021-06-12T19:59:57.782Z,49544.05,52500.02,50306.25,50283.62,50143.08,50163.38
2021-06-12T20:00:07.224Z,49544.05,52500.02,50306.25,50152.31,50148.34,50163.38
2021-06-12T20:00:12.950Z,49544.05,52500.02,50170.66,50152.31,50150.04,50163.38
2021-06-12T20:00:18.684Z,49544.05,52500.02,50170.66,50152.31,50150.13,50163.38
2021-06-12T20:00:24.422Z,49544.05,52500.02,50170.66,50152.31,50150.13,50163.38
2021-06-12T20:00:30.219Z,49544.05,52500.02,50170.66,50152.31,50150.13,50150.39
2021-06-12T20:00:35.994Z,49544.05,52500.02,50170.66,50152.31,50150.13,50150.39
2021-06-12T20:00:41.721Z,49544.05,52500.02,50170.66,50152.31,50153.66,50150.39
2021-06-12T20:00:47.440Z,49544.05,52500.02,50170.66,50152.31,50153.66,50150.39
2021-06-12T20:00:53.267Z,49544.05,52500.02,50170.66,50152.31,50153.66,50150.39
2021-06-12T20:00:59.003Z,49544.05,52500.02,50170.66,50152.31,50154.41,50150.39
2021-06-12T20:01:04.749Z,49544.05,52500.02,50170.66,50152.31,50154.42,50150.39
2021-06-12T20:01:10.470Z,49544.05,52500.02,50170.66,50152.31,50154.42,50150.39
2021-06-12T20:01:16.197Z,49544.05,52500.02,50170.66,50152.31,50154.42,50150.39
2021-06-12T20:01:21.928Z,49544.05,52500.02,50170.66,50152.31,50165.81,50150.39
2021-06-12T20:01:27.743Z,49544.05,52500.02,50170.66,50152.31,50166.79,50150.39
2021-06-12T20:01:33.474Z,49544.05,52500.02,50170.66,50152.31,50166.79,50212.52
2021-06-12T20:01:39.200Z,49544.05,52500.02,50170.66,50152.31,50165.55,50212.52
2021-06-12T20:01:44.921Z,49544.05,52500.02,50170.66,50152.31,50165.55,50212.52
2021-06-12T20:01:50.720Z,49544.05,52500.02,50170.66,50152.31,50171.54,50212.52
2021-06-12T20:01:56.441Z,49544.05,52500.02,50170.66,50152.31,50171.54,50212.52
2021-06-12T20:02:02.167Z,49544.05,52500.02,50170.66,50152.31,50171.54,50212.52
2021-06-12T20:02:07.890Z,49544.05,52500.02,50170.66,50152.31,50171.28,50212.52
2021-06-12T20:02:13.609Z,49544.05,52500.02,50170.66,50152.31,50171.23,50212.52
2021-06-12T20:02:19.552Z,49544.05,52500.02,50170.66,50152.31,50171.23,50212.52
2021-06-12T20:02:26.822Z,49544.05,52500.02,50170.66,50213.15,50170.32,50212.52
2021-06-12T20:02:32.785Z,49544.05,52500.02,50233.52,50213.15,50170.38,50226.47
2021-06-12T20:02:38.501Z,49544.05,52500.02,50233.52,50213.15,50171.26,50226.47
2021-06-12T20:02:44.218Z,49544.05,52500.02,50233.52,50213.15,50171.29,50226.47
2021-06-12T20:02:50.015Z,49544.05,52500.02,50233.52,50213.15,50171.74,50226.47
2021-06-12T20:02:55.740Z,49544.05,52500.02,50233.52,50213.15,50171.79,50226.47
2021-06-12T20:03:01.017Z,49544.05,52500.02,50233.52,50213.15,50171.79,50226.47
2021-06-12T20:03:06.752Z,49544.05,52500.02,50233.52,50213.15,50171.79,50226.47
2021-06-12T20:03:12.475Z,49544.05,52500.02,50233.52,50213.15,50178.19,50226.47
2021-06-12T20:03:18.203Z,49544.05,52500.02,50233.52,50213.15,50182.84,50226.47
2021-06-12T20:03:24.003Z,49544.05,52500.02,50233.52,50213.15,50182.93,50226.47
2021-06-12T20:03:30.011Z,49544.05,52500.02,50233.52,50213.15,50182.93,50218.62
2021-06-12T20:03:35.741Z,49544.05,52500.02,50233.52,50213.15,50182.93,50218.62
2021-06-12T20:03:41.483Z,49544.05,52500.02,50233.52,50213.15,50182.93,50218.62
2021-06-12T20:03:47.504Z,49544.05,52500.02,50233.52,50213.15,50183.12,50218.62
2021-06-12T20:03:53.226Z,49544.05,52500.02,50233.52,50213.15,50183.12,50218.62
2021-06-12T20:03:58.555Z,49544.05,52500.02,50233.52,50213.15,50183.58,50218.62
2021-06-12T20:04:04.275Z,49544.05,52500.02,50233.52,50213.15,50184.18,50218.62
2021-06-12T20:04:10.088Z,49544.05,52500.02,50233.52,50213.15,50184.18,50218.62
2021-06-12T20:04:15.822Z,49544.05,52500.02,50213.63,50213.15,50184.84,50218.62
2021-06-12T20:04:21.771Z,49544.05,52500.02,50213.63,50213.15,50184.84,50218.62
2021-06-12T20:04:27.559Z,49544.05,52500.02,50213.63,50213.15,50184.84,50218.62
2021-06-12T20:04:33.277Z,49544.05,52500.02,50213.63,50213.15,50185.12,50215.84
2021-06-12T20:04:39.003Z,49544.05,52500.02,50213.63,50213.15,50185.13,50215.84
2021-06-12T20:04:46.867Z,49544.05,52500.02,50213.63,50197.03,50207.48,50215.84
2021-06-12T20:04:52.674Z,49544.05,52500.02,50213.63,50197.03,50212.67,50215.84
2021-06-12T20:04:58.405Z,49544.05,52500.02,50213.63,50197.03,50212.31,50215.84
2021-06-12T20:05:04.147Z,49544.05,52500.02,50213.63,50197.03,50212.31,50215.84
2021-06-12T20:05:10.107Z,49544.05,52500.02,50213.63,50197.03,50212.31,50215.84
2021-06-12T20:05:15.829Z,49544.05,52500.02,50213.63,50197.03,50213.76,50215.84
2021-06-12T20:05:21.553Z,49544.05,52500.02,50213.63,50197.03,50213.74,50215.84
2021-06-12T20:05:27.356Z,49544.05,52500.02,50213.63,50197.03,50213.68,50215.84
2021-06-12T20:05:33.296Z,49544.05,52500.02,50213.63,50197.03,50212.52,50215.84
2021-06-12T20:05:39.262Z,49544.05,52500.02,50213.63,50197.03,50212.52,50191.39
2021-06-12T20:05:44.990Z,49544.05,52500.02,50213.63,50197.03,50212.52,50191.39
2021-06-12T20:05:50.790Z,49544.05,52500.02,50213.63,50197.03,50240.17,50191.39
2021-06-12T20:05:56.511Z,49544.05,52500.02,50213.63,50197.03,50240.74,50191.39
2021-06-12T20:06:02.246Z,49544.05,52500.02,50213.63,50197.03,50242.03,50191.39
2021-06-12T20:06:08.199Z,49544.05,52500.02,50213.63,50197.03,50242.03,50191.39
2021-06-12T20:06:14.239Z,49544.05,52500.02,50213.63,50197.03,50242.03,50191.39
2021-06-12T20:06:19.960Z,49544.05,52500.02,50213.63,50197.03,50242.03,50191.39
2021-06-12T20:06:25.766Z,49544.05,52500.02,50213.63,50197.03,50242.03,50191.39
2021-06-12T20:06:31.716Z,49544.05,52500.02,50213.63,50197.03,50248.59,50191.39
2021-06-12T20:06:37.449Z,49544.05,52500.02,50216.89,50197.03,50268.37,50191.39
2021-06-12T20:06:43.170Z,49544.05,52500.02,50216.89,50197.03,50268.61,50273.6
2021-06-12T20:06:48.963Z,49544.05,52500.02,50216.89,50197.03,50269.25,50273.6
2021-06-12T20:06:54.688Z,49544.05,52500.02,50216.89,50197.03,50269.25,50273.6
2021-06-12T20:07:00.412Z,49544.05,52500.02,50216.89,50197.03,50269.25,50273.6
2021-06-12T20:07:08.600Z,49544.05,52500.02,50216.89,50338.44,50269.25,50273.6
2021-06-12T20:07:14.337Z,49544.05,52500.02,50216.89,50338.44,50273.58,50273.6
