date,kiwi-coin.com (worldwide), kiwi-coin.com (europe),binance.us
2021-06-12T20:48:36.836Z,50637.27,50654.26,50556.44
2021-06-12T20:48:42.590Z,50637.27,50654.26,50556.95
2021-06-12T20:48:48.347Z,50637.27,50654.26,50557.81
2021-06-12T20:48:55.335Z,50637.27,50654.26,50559.06
2021-06-12T20:49:01.068Z,50637.27,50654.26,50559.16
2021-06-12T20:49:06.787Z,50637.27,50654.26,50561.96
2021-06-12T20:49:16.670Z,50637.27,50654.26,50564.52
2021-06-12T20:49:22.383Z,50637.27,50654.26,50579.5
2021-06-12T20:49:28.827Z,50637.27,50654.26,50581.96
2021-06-12T20:49:34.624Z,50637.27,50654.26,50581.96
2021-06-12T20:49:40.339Z,50637.27,50654.26,50581.96
2021-06-12T20:49:46.055Z,50637.27,50654.26,50581.96
2021-06-12T20:49:52.895Z,50637.27,50654.26,50588.28
2021-06-12T20:49:58.634Z,50637.27,50654.26,50588.28
2021-06-12T20:50:06.505Z,50637.27,50654.26,50598.22
2021-06-12T20:50:12.447Z,50637.27,50654.26,50600.04
2021-06-12T20:50:18.169Z,50637.27,50654.26,50600.04
2021-06-12T20:50:25.948Z,50637.27,50654.26,50600.04
2021-06-12T20:50:31.748Z,50637.27,50654.26,50600.04
2021-06-12T20:50:38.742Z,50637.27,50654.26,50600.04
2021-06-12T20:50:44.461Z,50637.27,50654.26,50601.09
2021-06-12T20:50:50.184Z,50637.27,50654.26,50601.34
2021-06-12T20:50:55.902Z,50637.27,50654.26,50601.34
2021-06-12T20:51:03.264Z,50637.27,50654.26,50603.35
2021-06-12T20:51:09.213Z,50637.27,50654.26,50611.2
2021-06-12T20:51:18.883Z,50637.27,50654.26,50631.72
2021-06-12T20:51:24.607Z,50637.27,50654.26,50632.23
2021-06-12T20:51:30.406Z,50637.27,50654.26,50674.79
2021-06-12T20:51:38.602Z,50637.27,50654.26,50674.95
2021-06-12T20:51:44.320Z,50637.27,50654.26,50674.43
2021-06-12T20:51:53.659Z,50637.27,50654.26,50674.41
2021-06-12T20:51:59.387Z,50637.27,50654.26,50674.89
2021-06-12T20:52:05.332Z,50637.27,50654.26,50674.77
2021-06-12T20:52:12.660Z,50637.27,50654.26,50674.62
2021-06-12T20:52:18.383Z,50637.27,50654.26,50675.34
2021-06-12T20:52:24.105Z,50637.27,50654.26,50675.34
2021-06-12T20:52:31.839Z,50637.27,50654.26,50674.9
2021-06-12T20:52:37.561Z,50637.27,50654.26,50674.9
2021-06-12T20:52:43.284Z,50637.27,50654.26,50674.83
2021-06-12T20:52:50.708Z,50637.27,50654.26,50675.37
2021-06-12T20:52:56.429Z,50637.27,50654.26,50677.04
2021-06-12T20:53:02.143Z,50637.27,50654.26,50677.04
2021-06-12T20:53:09.328Z,50637.27,50654.26,50677.04
2021-06-12T20:53:15.050Z,50637.27,50654.26,50677.04
2021-06-12T20:53:20.773Z,50637.27,50654.26,50678.39
2021-06-12T20:53:27.404Z,50637.27,50654.26,50678.39
2021-06-12T20:53:33.140Z,50637.27,50654.26,50678.44
2021-06-12T20:53:38.865Z,50637.27,50654.26,50678.76
2021-06-12T20:53:45.958Z,50637.27,50654.26,50679.01
2021-06-12T20:53:51.682Z,50637.27,50654.26,50679
2021-06-12T20:53:57.400Z,50637.27,50654.26,50677.29
2021-06-12T20:54:04.808Z,50637.27,50654.26,50677.29
2021-06-12T20:54:10.526Z,50637.27,50654.26,50678.08
2021-06-12T20:54:16.470Z,50637.27,50654.26,50678.21
2021-06-12T20:54:24.748Z,50637.27,50654.26,50681.41
2021-06-12T20:54:30.477Z,50637.27,50654.26,50682
2021-06-12T20:54:37.343Z,50637.27,50654.26,50681.23
2021-06-12T20:54:43.060Z,50637.27,50654.26,50680.84
2021-06-12T20:54:48.783Z,50637.27,50654.26,50679.77
2021-06-12T20:54:54.504Z,50637.27,50654.26,50680.63
2021-06-12T20:55:00.947Z,50637.27,50654.26,50680.28
2021-06-12T20:55:06.678Z,50637.27,50654.26,50680.28
2021-06-12T20:55:13.615Z,50637.27,50654.26,50680.28
2021-06-12T20:55:19.396Z,50637.27,50654.26,50679.59
2021-06-12T20:55:25.193Z,50637.27,50654.26,50679.59
2021-06-12T20:55:30.915Z,50637.27,50654.26,50679.59
2021-06-12T20:55:38.537Z,50637.27,50654.26,50679.59
2021-06-12T20:55:44.272Z,50637.27,50654.26,50679.59
2021-06-12T20:55:51.405Z,50637.27,50654.26,50679.59
2021-06-12T20:55:57.127Z,50637.27,50654.26,50679.59
2021-06-12T20:56:02.850Z,50637.27,50654.26,50679.62
2021-06-12T20:56:08.562Z,50637.27,50654.26,50679.73
2021-06-12T20:56:17.540Z,50637.27,50654.26,50679.55
2021-06-12T20:56:27.408Z,50637.27,50654.26,50639.43
2021-06-12T20:56:33.417Z,50637.27,50654.26,50583.61
2021-06-12T20:56:39.142Z,50637.27,50654.26,50583.33
2021-06-12T20:56:44.880Z,50637.27,50654.26,50583.33
2021-06-12T20:56:52.119Z,50637.27,50654.26,50566.25
2021-06-12T20:56:57.848Z,50637.27,50654.26,50566.25
2021-06-12T20:57:07.520Z,50637.27,50654.26,50560.32
2021-06-12T20:57:13.239Z,50637.27,50654.26,50554.83
2021-06-12T20:57:19.056Z,50637.27,50654.26,50554.83
2021-06-12T20:57:26.902Z,50637.27,50654.26,50554.83
2021-06-12T20:57:32.845Z,50637.27,50654.26,50554.83
2021-06-12T20:57:43.707Z,50637.27,50654.26,50554.83
2021-06-12T20:57:49.422Z,50637.27,50654.26,50550.67
2021-06-12T20:57:55.146Z,50637.27,50654.26,50550.67
2021-06-12T20:58:02.424Z,50637.27,50654.26,50550.67
2021-06-12T20:58:08.141Z,50637.27,50654.26,50551.82
2021-06-12T20:58:13.862Z,50637.27,50654.26,50551.82
2021-06-12T20:58:22.362Z,50637.27,50654.26,50551.87
2021-06-12T20:58:28.085Z,50637.27,50654.26,50551.34
2021-06-12T20:58:35.222Z,50637.27,50654.26,50551.55
2021-06-12T20:58:40.988Z,50637.27,50654.26,50550.98
2021-06-12T20:58:46.930Z,50637.27,50654.26,50550.37
2021-06-12T20:58:52.877Z,50637.27,50654.26,50550.37
2021-06-12T20:59:01.641Z,50637.27,50654.26,50545.11
2021-06-12T20:59:07.986Z,50637.27,50654.26,50545.09
2021-06-12T20:59:13.706Z,50637.27,50654.26,50544.59
2021-06-12T20:59:19.482Z,50637.27,50654.26,50543.08
2021-06-12T20:59:25.195Z,50637.27,50654.26,50542.21
2021-06-12T20:59:30.918Z,50637.27,50654.26,50539.77
2021-06-12T20:59:38.297Z,50637.27,50654.26,50539.77
2021-06-12T20:59:46.997Z,50637.27,50654.26,50536.96
2021-06-12T20:59:52.711Z,50637.27,50654.26,50534.82
2021-06-12T20:59:58.433Z,50637.27,50654.26,50533.66
2021-06-12T21:00:04.151Z,50637.27,50654.26,50533.53
2021-06-12T21:00:10.974Z,50637.27,50510.23,50533.57
2021-06-12T21:00:16.757Z,50637.27,50510.23,50533.86
2021-06-12T21:00:22.701Z,50546.76,50510.23,50532.87
2021-06-12T21:00:28.430Z,50546.76,50510.23,50532.88
2021-06-12T21:00:34.207Z,50546.76,50510.23,50532.89
2021-06-12T21:00:39.930Z,50546.76,50510.23,50532.89
2021-06-12T21:00:45.654Z,50546.76,50510.23,50531.85
2021-06-12T21:00:51.377Z,50546.76,50510.23,50531.84
2021-06-12T21:00:57.169Z,50546.76,50510.23,50531.1
2021-06-12T21:01:02.891Z,50546.76,50510.23,50531.1
2021-06-12T21:01:08.612Z,50546.76,50510.23,50531.12
2021-06-12T21:01:14.396Z,50546.76,50510.23,50531.18
2021-06-12T21:01:20.178Z,50546.76,50510.23,50531.18
2021-06-12T21:01:25.893Z,50546.76,50510.23,50539.93
2021-06-12T21:01:31.618Z,50546.76,50510.23,50539.79
2021-06-12T21:01:37.338Z,50546.76,50510.23,50539.49
2021-06-12T21:01:43.065Z,50546.76,50510.23,50538.85
2021-06-12T21:01:49.015Z,50546.76,50510.23,50536.86
2021-06-12T21:01:54.735Z,50546.76,50510.23,50528.25
2021-06-12T21:02:00.455Z,50546.76,50510.23,50447.17
2021-06-12T21:02:06.188Z,50551.4,50510.23,50443.99
2021-06-12T21:02:11.909Z,50551.4,50510.23,50443.97
2021-06-12T21:02:17.697Z,50551.4,50510.23,50444.04
2021-06-12T21:02:23.428Z,50551.4,50510.23,50444.82
2021-06-12T21:02:32.348Z,50551.4,50452.21,50444.87
2021-06-12T21:02:38.073Z,50551.4,50452.21,50444.73
2021-06-12T21:02:44.020Z,50551.4,50452.21,50444.58
2021-06-12T21:02:49.769Z,50551.4,50452.21,50444.34
2021-06-12T21:02:55.716Z,50551.4,50452.21,50444.22
2021-06-12T21:03:01.439Z,50551.4,50452.21,50444.17
2021-06-12T21:03:07.388Z,50551.4,50452.21,50444.17
2021-06-12T21:03:13.183Z,50551.4,50452.21,50444.17
2021-06-12T21:03:18.904Z,50551.4,50452.21,50440.2
2021-06-12T21:03:24.622Z,50551.4,50452.21,50440.2
2021-06-12T21:03:30.363Z,50551.4,50452.21,50440.2
2021-06-12T21:03:36.308Z,50551.4,50452.21,50440.2
2021-06-12T21:03:42.051Z,50551.4,50452.21,50437.83
2021-06-12T21:03:47.773Z,50551.4,50452.21,50437.83
2021-06-12T21:03:53.530Z,50551.4,50452.21,50433.96
2021-06-12T21:03:59.480Z,50551.4,50452.21,50434.19
2021-06-12T21:04:05.202Z,50551.4,50452.21,50434.19
2021-06-12T21:04:10.984Z,50551.4,50452.21,50434.15
2021-06-12T21:04:16.934Z,50551.4,50452.21,50430.96
2021-06-12T21:04:22.660Z,50486.2,50452.21,50430.96
2021-06-12T21:04:28.384Z,50486.2,50452.21,50430.96
2021-06-12T21:04:34.104Z,50486.2,50452.21,50430.03
2021-06-12T21:04:39.829Z,50486.2,50452.21,50430.03
2021-06-12T21:04:45.552Z,50486.2,50452.21,50429.17
2021-06-12T21:04:54.278Z,50486.2,50475.29,50428.73
2021-06-12T21:05:00.055Z,50486.2,50475.29,50428.74
2021-06-12T21:05:05.776Z,50486.2,50475.29,50424.36
2021-06-12T21:05:11.568Z,50486.2,50475.29,50424.36
2021-06-12T21:05:17.381Z,50486.2,50475.29,50424.36
2021-06-12T21:05:23.108Z,50486.2,50475.29,50422.75
2021-06-12T21:05:28.823Z,50486.2,50475.29,50421.98
2021-06-12T21:05:34.553Z,50486.2,50475.29,50422.02
